Date,Accounts Subscriptions,Google Display Cost,Google Branded Paid Search Cost,TV Cost,Google Generic Paid Search Cost,Influencers Cost,Meta Cost,YouTube Cost,Dates_School_Holidays,Competitors Promotion,Promotion
2025-01-06,3251,680.32,2387.74,0,3446.52,0,11075.25,6336.37,1,2,18
2025-01-13,3265,75.33,2324.73,5400,4617.14,0,10209.34,5578.88,1,17,13
2025-01-20,3719,550.88,3742.63,0,3020.8,0,11236.05,3963.08,0,4,6
2025-01-27,3009,128.83,2032.12,3200,5711.98,1200,12053.46,5637.85,0,17,3
2025-02-03,2961,519.23,3790.57,5400,4979.26,1200,10330.14,5529.66,0,1,7
2025-02-10,2963,777.02,3879.56,3200,4216.4,2100,10767.63,4068.78,0,11,11
2025-02-17,4172,276.93,4047.97,0,5073.71,0,10006.05,3552.69,0,14,12
2025-02-24,4110,634.94,2327.08,3200,4037.7,0,7717.86,2638.03,0,10,12
2025-03-03,3335,229.34,4062.98,3200,5804.38,1200,7594.7,4646.69,1,20,14
2025-03-10,3742,168.69,3587.97,0,4724.73,2100,12733.67,4217.42,1,7,4
2025-03-17,3810,127.27,1913.08,7100,3350.88,0,11940.6,4315.29,0,2,12
2025-03-24,4020,896.7,3069.87,5400,6107.45,0,11102.13,2992.57,0,17,8
2025-03-31,3028,299.48,2179.58,3200,3010.39,1200,13289.16,5776.44,0,16,3
2025-04-07,4523,593.11,3261.53,3200,3489.09,0,10045.34,5848.09,0,16,0
2025-04-14,3463,465.31,2068.48,7100,4161.54,1200,7795.89,3535.75,0,18,2
2025-04-21,4298,463.09,1966.11,0,5433.93,0,6962.94,4543.71,0,17,5
